school_uuid,class_of,url_source,downloaded_on
30,2016,https://www.law.georgetown.edu/careers/upload/L16-ABA-Employment-Summary-4.pdf,2017-09-11
30,2015,https://www.law.georgetown.edu/careers/upload/Employment-Summary-for-2015-Graduates.pdf,2017-09-11
30,2014,https://www.law.georgetown.edu/careers/upload/2014-Bundle-for-Website-Revised-2.pdf,2017-09-11
30,2013,N/A,N/A
30,2012,N/A,N/A
30,2011,N/A,N/A
30,2010,N/A,N/A
31,2016,https://www.law.gwu.edu/sites/www.law.gwu.edu/files/downloads/GW-Law-Employment-Data-Class-of-2016.pdf,2017-09-11
31,2015,https://www.law.gwu.edu/sites/www.law.gwu.edu/files/downloads/GW-Law-ABA-Employment-Data-for-Class-of-2015.pdf,2017-09-11
31,2014,https://www.law.gwu.edu/sites/www.law.gwu.edu/files/downloads/Employement_Data_2014.pdf,2017-09-11
31,2013,https://www.law.gwu.edu/sites/www.law.gwu.edu/files/downloads/Employment_Data_Class_of_2013.pdf,2017-09-11
31,2012,https://www.law.gwu.edu/sites/www.law.gwu.edu/files/downloads/Final_2012_ABA.pdf,2017-09-11
31,2011,N/A,N/A
31,2010,N/A,N/A
32,2016,http://law.howard.edu/sites/default/files/EmploymentQuestionnaireSummary-32-25038-04-07-2017%2014-41-21.pdf,2017-09-11
32,2015,http://law.howard.edu/sites/default/files/EmploymentQuestionnaireSummary_For_Publication.pdf,2017-09-11
32,2014,http://law.howard.edu/sites/default/files/ABA_HUSL_041615.pdf,2017-09-11
32,2013,http://law.howard.edu/sites/default/files/ABA_Employment_Summary_Class_of_2013.pdf,2017-09-11
32,2012,http://law.howard.edu/sites/default/files/ABA_Employment_Summary_Class_of_2012.pdf,2017-09-11
32,2011,N/A,N/A
32,2010,N/A,N/A
33,2016,http://media.law.miami.edu/career-development-office/pdf/2017/aba-employment-summary-2016.pdf,
33,2015,http://media.law.miami.edu/employmentdata/pdf/aba-employment-summary-2015.pdf,
33,2014,http://media.law.miami.edu/employmentdata/pdf/aba-employment-summary-2014.pdf,
33,2013,http://media.law.miami.edu/employmentdata/pdf/aba-employment-summary-2013.pdf,
33,2012,http://media.law.miami.edu/employmentdata/pdf/aba-employment-summary-2012.pdf,
33,2011,http://media.law.miami.edu/employmentdata/pdf/aba-employment-summary-2011.pdf,
33,2010,http://media.law.miami.edu/employmentdata/pdf/aba-employment-summary-2010.pdf,
33,2009,http://media.law.miami.edu/employmentdata/pdf/miami-law-class-of-2009-graduate-employment-statistics.pdf,
34,2016,https://www.law.ufl.edu/law/wp-content/uploads/2012/12/aba-employment-summary-for-2016-graduates.pdf,2017-09-11
34,2015,https://www.law.ufl.edu/law/wp-content/uploads/2016/04/aba-employment-summary-for-2015-graduates.pdf,2017-09-11
34,2014,https://www.law.ufl.edu/law/wp-content/uploads/2015/03/aba-employment-summary-for-2014-graduates.pdf,2017-09-11
34,2013,https://www.law.ufl.edu/law/wp-content/uploads/2012/05/ABA-Employment-Summary-For-2013-Graduates.pdf,2017-09-11
34,2012,https://www.law.ufl.edu/_pdf/career/employers/EmploymentSummary-2013.pdf,2017-09-11
34,2011,N/A,N/A
34,2010,N/A,N/A
35,2016,http://www.stetson.edu/law/career/media/2016-employment-report.pdf,
35,2015,http://www.stetson.edu/law/career/media/2015-employment-report.pdf,
35,2014,http://www.stetson.edu/law/career/media/2014-employment-report.pdf,
35,2013,http://www.stetson.edu/law/career/media/2013-employment-report.pdf,
35,2012,N/A,N/A
35,2011,N/A,N/A
35,2010,N/A,N/A
36,2016,http://www.law.fsu.edu/docs/default-source/default-document-library/abadata.pdf?sfvrsn=12,2017-09-09
36,2015,N/A,N/A
36,2014,N/A,N/A
36,2013,N/A,N/A
36,2012,N/A,N/A
36,2011,N/A,N/A
36,2010,N/A,N/A
37,2016,https://www.law.nova.edu/about/documents/ABA%20Employment%20Summary%20-%20NSU%20Class%20of%202016.pdf,
37,2015,https://www.law.nova.edu/about/documents/ABA%20Employment%20Summary%20-%20NSU%20Class%20of%202015.pdf,
37,2014,https://www.law.nova.edu/about/documents/EmploymentQuestionnaireSummary-37-37-04-10-2015_14-12-25_1.pdf,
37,2013,https://www.law.nova.edu/about/documents/ABA%20Employment%20Summary%20-%20NSU%20Class%20of%202013.pdf,
37,2012,N/A,N/A
37,2011,N/A,N/A
37,2010,N/A,N/A
